date_key,date,annee,trimestre,mois_num,mois_nom,annee_mois,jour,jour_semaine_num,jour_semaine_nom,est_weekend
20240809,2024-08-09,2024,3,8,August,2024-08,9,5,Friday,f
20240810,2024-08-10,2024,3,8,August,2024-08,10,6,Saturday,t
20240811,2024-08-11,2024,3,8,August,2024-08,11,7,Sunday,t
20240812,2024-08-12,2024,3,8,August,2024-08,12,1,Monday,f
20240813,2024-08-13,2024,3,8,August,2024-08,13,2,Tuesday,f
20240814,2024-08-14,2024,3,8,August,2024-08,14,3,Wednesday,f
20240815,2024-08-15,2024,3,8,August,2024-08,15,4,Thursday,f
20240816,2024-08-16,2024,3,8,August,2024-08,16,5,Friday,f
20240817,2024-08-17,2024,3,8,August,2024-08,17,6,Saturday,t
20240818,2024-08-18,2024,3,8,August,2024-08,18,7,Sunday,t
20240819,2024-08-19,2024,3,8,August,2024-08,19,1,Monday,f
20240820,2024-08-20,2024,3,8,August,2024-08,20,2,Tuesday,f
20240821,2024-08-21,2024,3,8,August,2024-08,21,3,Wednesday,f
20240822,2024-08-22,2024,3,8,August,2024-08,22,4,Thursday,f
20240823,2024-08-23,2024,3,8,August,2024-08,23,5,Friday,f
20240824,2024-08-24,2024,3,8,August,2024-08,24,6,Saturday,t
20240825,2024-08-25,2024,3,8,August,2024-08,25,7,Sunday,t
20240826,2024-08-26,2024,3,8,August,2024-08,26,1,Monday,f
20240827,2024-08-27,2024,3,8,August,2024-08,27,2,Tuesday,f
20240828,2024-08-28,2024,3,8,August,2024-08,28,3,Wednesday,f
20240829,2024-08-29,2024,3,8,August,2024-08,29,4,Thursday,f
20240830,2024-08-30,2024,3,8,August,2024-08,30,5,Friday,f
20240831,2024-08-31,2024,3,8,August,2024-08,31,6,Saturday,t
20240901,2024-09-01,2024,3,9,September,2024-09,1,7,Sunday,t
20240902,2024-09-02,2024,3,9,September,2024-09,2,1,Monday,f
20240903,2024-09-03,2024,3,9,September,2024-09,3,2,Tuesday,f
20240904,2024-09-04,2024,3,9,September,2024-09,4,3,Wednesday,f
20240905,2024-09-05,2024,3,9,September,2024-09,5,4,Thursday,f
20240906,2024-09-06,2024,3,9,September,2024-09,6,5,Friday,f
20240907,2024-09-07,2024,3,9,September,2024-09,7,6,Saturday,t
20240908,2024-09-08,2024,3,9,September,2024-09,8,7,Sunday,t
20240909,2024-09-09,2024,3,9,September,2024-09,9,1,Monday,f
